t,indicators_net_unrealized_profit_loss_account_based
2010-07-18,0.421777234006699
2010-07-19,0.380630887677207
2010-07-20,0.328545267553084
2010-07-21,0.365129740511423
2010-07-22,0.209535558687045
2010-07-23,0.191533453937073
2010-07-24,0.0762578553373183
2010-07-25,0.00154955665036754
2010-07-26,0.0987442116182296
2010-07-27,0.156029224065678
2010-07-28,0.141600575416491
2010-07-29,0.268872005543305
2010-07-30,0.211658930847896
2010-07-31,0.252323396401058
2010-08-01,0.168706505075555
2010-08-02,0.152637605998588
2010-08-03,0.151838780981434
2010-08-04,0.121205514314248
2010-08-05,0.164631543656373
2010-08-06,0.178729966745232
2010-08-07,0.13495223902977
2010-08-08,0.161445632670064
2010-08-09,0.278719135203664
2010-08-10,0.23577848922719
2010-08-11,0.232811037307682
2010-08-12,0.264957035801576
2010-08-13,0.200806542804356
2010-08-14,0.229763827054324
2010-08-15,0.20873831405477
2010-08-16,0.210023323808325
2010-08-17,0.260036966613189
2010-08-18,0.236894831600806
2010-08-19,0.221485543070427
2010-08-20,0.206630771516108
2010-08-21,0.216798023949275
2010-08-22,0.211347197092586
2010-08-23,0.197465422325451
2010-08-24,0.197872822319561
2010-08-25,0.194751660813512
2010-08-26,0.18408580085686
2010-08-27,0.195982347017898
2010-08-28,0.190525262834623
2010-08-29,0.182492642107117
2010-08-30,0.19445452885416
2010-08-31,0.127075940886487
2010-09-01,0.146999802899655
2010-09-02,0.169843411896567
2010-09-03,0.138929507995246
2010-09-04,0.159808589547014
2010-09-05,0.148303581314643
2010-09-06,0.148221893938137
2010-09-07,0.146657693192353
2010-09-08,0.146228380739644
2010-09-09,0.140111278555928
2010-09-10,0.149443735692274
2010-09-11,0.174084475292242
2010-09-12,0.144689107008806
2010-09-13,0.153663785550729
2010-09-14,0.150597162851268
2010-09-15,0.127620105207476
2010-09-16,0.146617252513384
2010-09-17,0.110480332303064
2010-09-18,0.13390482848487
2010-09-19,0.156932547839777
2010-09-20,0.148412670065144
2010-09-21,0.155460952145245
2010-09-22,0.146724175923313
2010-09-23,0.149864164906504
2010-09-24,0.147934732709956
2010-09-25,0.145106488317688
2010-09-26,0.147077665609372
2010-09-27,0.145997829048297
2010-09-28,0.139240972960755
2010-09-29,0.137921647740454
2010-09-30,0.138738504091252
2010-10-01,0.138445967570625
2010-10-02,0.130346315703823
2010-10-03,0.125986256666446
2010-10-04,0.128271791402885
